schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer One 2024,82172,Elementary Japanese II,12.0,S,MTWRF,09:30AM,10:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Yasuhara
Summer One 2024,82272,Intermediate Japanese II,12.0,S,MTWRF,12:30PM,01:50PM,PH 125B,"Pittsburgh, Pennsylvania",Yasuhara
Summer One 2024,82275,Queer Representations in Contemporary Literature and Culture from Japan,9.0,S,MTWRF,12:30PM,01:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Lowy
Summer One 2024,82278,Japanese Film and Literature: The Art of Storytelling,9.0,S,MTWRF,09:30AM,10:50AM,CMU REMOTE,"Pittsburgh, Pennsylvania",Zhan
Summer One 2024,82279,Anime - Visual Interplay between Japan and the World,9.0,S,MTWRF,11:00AM,12:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Yasuhara
Summer One 2024,82283,Language Diversity & Cultural Identity,9.0,S,MTWRF,09:30AM,10:50AM,PH 126A,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,82293,Russian Cinema: From the Bolshevik Revolution to Putin's Russia,9.0,S,MTWRF,11:00AM,12:20PM,PH A19,"Pittsburgh, Pennsylvania",Kats
Summer One 2024,82295,20th Century Russian Masterpieces,9.0,S,MTWRF,12:30PM,01:50PM,PH A19,"Pittsburgh, Pennsylvania",Kats
Summer One 2024,82346,Intensive Spanish Language and Culture: Advanced Level,"18,24",S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tardio
Summer One 2024,82372,Advanced Japanese II,9.0,S,MTWRF,11:00AM,12:20PM,PH 125B,"Pittsburgh, Pennsylvania",Yasuhara
Summer One 2024,,Spoken & Written Professional Genres,,W,UMTWR,03:00PM,04:30PM,TBA,"Doha, Qatar",Al Masaeed
Summer One 2024,82444,The Structure of Spanish,6.0,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tardio
